ticker;name
BTC;Bitcoin
ETH;Ethereum
XRP;XRP
LTC;Litecoin
XMR;Monero
ETC;Ethereum Classic
DASH;Dash
STEEM;Steem
XEM;NEM
FCT;Factom
WAVES;Waves
DOGE;Dogecoin
XLM;Stellar
ZEC;Zcash
LSK;Lisk
GAME;GameCredits
BTS;BitShares
USDT;Tether
BCN;Bytecoin
NLG;Gulden
EMC;Emercoin
NEO;NEO
STRAX;Stratis
LMC;LoMoCoin
IOC;I/O Coin
NXT;Nxt
PPC;Peercoin
AGRS;Agoras
SC;Siacoin
RBY;Rubycoin
XCP;Counterparty
SYS;Syscoin
GCR;Global Currency Reserve
NMC;Namecoin
POT;PotCoin
NAV;NAV Coin
GRC;GridCoin
ION;Ionomy
BLK;BlackCoin
DGB;DigiByte
CLAM;Clams
DCR;Decred
OMNI;Omni
TIPS;FedoraCoin
VASH;VPNCoin
AEON;Aeon
NXS;Nexus
SBD;Steem Dollars
SIB;SIBCoin
VTC;Vertcoin
VRS;Veros
AUR;Auroracoin
MONA;MonaCoin
EAC;EarthCoin
CURE;Curecoin
EXP;Expanse
VAL;Validity
SIGNA;Signum
FTC;Feathercoin
XPM;Primecoin
XHI;HiCoin
CLOAK;CloakCoin
VIA;Viacoin
USNBT;NuBits
NVC;Novacoin
BBR;Boolberry
VRC;VeriCoin
ADZ;Adzcoin
ENRG;Energycoin
QRK;Quark
MOON;Mooncoin
GLC;GoldCoin
SLS;SaluS
XDN;DigitalNote
RDD;ReddCoin
GBYTE;Obyte
OK;OKCash
WDC;WorldCoin
MEC;Megacoin
NOTE;DNotes
IFC;Infinitecoin
BLOCK;Blocknet
FREED;Freedomcoin
ZET;Zetacoin
LBC;LBRY Credits
DMD;Diamond
GB;GoldBlocks
FLO;FLO
PIVX;PIVX
BELA;Bela
J;Joincoin
FIRO;Firo
BOST;BoostCoin
RVR;RevolutionVR
HTC;HitCoin
ERC;EuropeCoin
EGC;EverGreenCoin
XMY;Myriad
DGC;Digitalcoin
RISE;Rise
GOLOS;Golos
PASC;Pascal Coin
PUT;PutinCoin
ZCL;ZClassic
WBB;Wild Beast Block
VIDZ;PureVidz
NEOS;NeosCoin
KMD;Komodo
UBQ;Ubiq
SHIFT;Shift
DIME;Dimecoin
SEQ;Sequence
XBC;Bitcoin Plus
ARK;Ark
MUE;MonetaryUnit
ARC;Advanced Technology Coin
BSD;BitSend
MSCN;Master Swiscoin
SPR;SpreadCoin
EMC2;Einsteinium
XNO;Nano
SKY;Skycoin
DBIX;DubaiCoin
FRST;FirstCoin
PINK;PinkCoin
XAS;Asch
CCRB;CryptoCarbon
ZENI;Zennies
XVG;Verge
XBY;XTRABYTES
SPHR;Sphere
MIOTA;IOTA
SNT;Status
VERI;Veritaseum
MGO;MobileGo
RLC;iExec RLC
MLN;Enzyme
NMR;Numeraire
WINGS;Wings
PPY;Peerplays
MYST;Mysterium
XEL;Elastic
XCN;Cryptonite
OMG;OMG Network
MTL;Metal
ETP;Metaverse ETP
DCT;DECENT
PART;Particl
STORJ;Storj
CHC;ChainCoin
NLC2;NoLimitCoin
BCH;Bitcoin Cash
QTUM;Qtum
PAY;TenX
